game_id,Week,Day,Date,Year,Month,Day,Time,Winner/tie,Loser/tie,PtsW,PtsL,YdsW,TOW,YdsL,TOL,loser_is_home,start_latlong,end_latlong,start_lat,start_long,end_lat,end_long,Home,Away,Stadium,Dome,Grass,HOME_day_since_last_game,AWAY_day_since_last_game,Distance
2019_03_PIT_SEA,3,Sun,43730,2019,September,22,4:25PM,San Francisco 49ers,Pittsburgh Steelers,24,20,436,5,239,2,FALSE,"40.446739,-80.015837","37.40289,-121.96784",40.446739,-80.015837,37.40289,-121.96784,San Francisco 49ers,Pittsburgh Steelers,Levi's Stadium,No,Bermuda Grass and Perennial Ryegrass mixture,7,7,2243.624414
2019_03_LV_CLE,3,Sun,43730,2019,September,22,8:20PM,Los Angeles Rams,Cleveland Browns,20,13,344,3,270,1,TRUE,"33.864219,-118.260995","41.506035,-81.700058",33.864219,-118.260995,41.506035,-81.700058,Cleveland Browns,Los Angeles Rams,First Energy Stadium,No,Kentucky Bluegrass,6,7,2051.089033
2019_03_CHI_WAS,3,Mon,43731,2019,September,23,8:15PM,Chicago Bears,Washington Redskins,31,15,298,1,356,5,TRUE,"42.256007,-87.895355","39.026703,-77.444067",42.256007,-87.895355,39.026703,-77.444067,Washington Redskins,Chicago Bears,FedExField,No,Bermuda Grass,8,8,591.1129986
2019_04_PHI_GB,4,Thu,43734,2019,September,26,8:20PM,Philadelphia Eagles,Green Bay Packers,34,27,336,0,491,2,TRUE,"39.907366,-75.178274","44.501135,-88.062284",39.907366,-75.178274,44.501135,-88.062284,Green Bay Packers,Philadelphia Eagles,Lambeau Field,No,Desso GrassMaster,4,4,730.7112314
2019_04_TEN_ATL,4,Sun,43737,2019,September,29,1:00PM,Tennessee Titans,Atlanta Falcons,24,10,365,0,422,1,TRUE,"36.199207,-86.80447","33.755141,-84.401023",36.199207,-86.80447,33.755141,-84.401023,Atlanta Falcons,Tennessee Titans,Mercedes-Benz Stadium,Retractable,FieldTurfCORE,7,10,216.8485397
2019_04_NE_BUF,4,Sun,43737,2019,September,29,1:00PM,New England Patriots,Buffalo Bills,16,10,224,1,375,4,TRUE,"42.090936,-71.264362","42.773773,-78.787460",42.090936,-71.264362,42.773773,-78.78746,Buffalo Bills,New England Patriots,Bills Stadium,No,A-Turf Titan,7,7,386.4054649
2019_04_CAR_HOU,4,Sun,43737,2019,September,29,1:00PM,Carolina Panthers,Houston Texans,16,10,297,3,264,2,TRUE,"35.225647,-80.851339","29.684873,-95.410645",35.225647,-80.851339,29.684873,-95.410645,Houston Texans,Carolina Panthers,NRG Stadium,Retractable,Hellas Matrix Turf,7,7,929.8973628
2019_04_CLE_BAL,4,Sun,43737,2019,September,29,1:00PM,Cleveland Browns,Baltimore Ravens,40,25,530,1,395,3,TRUE,"41.506035,-81.700058","39.397151,-76.835177",41.506035,-81.700058,39.397151,-76.835177,Baltimore Ravens,Cleveland Browns,M&T Bank Stadium,No,Bermuda,7,7,294.3038584
2019_04_OAK_IND,4,Sun,43737,2019,September,29,1:00PM,Oakland Raiders,Indianapolis Colts,31,24,377,1,346,2,TRUE,"37.751605,-122.200485","39.725523,-86.269762",37.751605,-122.200485,39.725523,-86.269762,Indianapolis Colts,Oakland Raiders,Lucas Oil Stadium,Retractable,Shaw Sports Momentum Pro,7,7,1928.273187
2019_04_KC_DET,4,Sun,43737,2019,September,29,1:00PM,Kansas City Chiefs,Detroit Lions,34,30,438,3,447,2,TRUE,"39.048172,-94.483084","42.339997,-83.045509",39.048172,-94.483084,42.339997,-83.045509,Detroit Lions,Kansas City Chiefs,Ford Field,Closed,FieldTurf Classic HD,7,7,640.2475814
2019_04_LAC_MIA,4,Sun,43737,2019,September,29,1:00PM,Los Angeles Chargers,Miami Dolphins,30,10,390,0,233,1,TRUE,"33.864219,-118.260995","25.957866,-80.23877",33.864219,-118.260995,25.957866,-80.23877,Miami Dolphins,Los Angeles Chargers,Hard Rock Stadium,No,Bermuda Grass,7,7,2327.783544
2019_04_WAS_NYG,4,Sun,43737,2019,September,29,1:00PM,New York Giants,Washington Redskins,24,3,389,4,176,4,FALSE,"39.026703,-77.444067","40.813677,-74.082884",39.026703,-77.444067,40.813677,-74.082884,New York Giants,Washington Redskins,MetLife Stadium,No,UBU Sports Speed Series S5-M,7,6,216.6930568
2019_04_SF_ARI,4,Sun,43737,2019,September,29,4:05PM,Seattle Seahawks,Arizona Cardinals,27,10,340,0,321,1,TRUE,"47.593177,-122.331764","33.5276,-112.2626",47.593177,-122.331764,33.5276,-112.2626,Arizona Cardinals,Seattle Seahawks,State Farm Stadium,Retractable,Bermuda Grass,7,7,1104.093049
2019_04_TB_LV,4,Sun,43737,2019,September,29,4:05PM,Tampa Bay Buccaneers,Los Angeles Rams,55,40,464,1,518,4,TRUE,"27.979836,-82.49501","33.864219,-118.260995",27.979836,-82.49501,33.864219,-118.260995,Los Angeles Rams,Tampa Bay Buccaneers,SoFi Stadium,Closed,Hellas Matrix Turf,7,7,2147.490749
2019_04_MIN_CHI,4,Sun,43737,2019,September,29,4:25PM,Chicago Bears,Minnesota Vikings,16,6,269,0,222,2,FALSE,"44.974552,-93.25975","42.256007,-87.895355",44.974552,-93.25975,42.256007,-87.895355,Chicago Bears,Minnesota Vikings,Soldier Field,No,Kentucky Bluegrass,6,7,327.4342834
2019_04_JAX_DEN,4,Sun,43737,2019,September,29,4:25PM,Jacksonville Jaguars,Denver Broncos,26,24,455,0,371,1,TRUE,"30.323721,-81.635996","39.579126,-104.830049",30.323721,-81.635996,39.579126,-104.830049,Denver Broncos,Jacksonville Jaguars,Empower Field at Mile High,No,Kentucky Bluegrass,7,10,1455.052731
2019_04_DAL_NO,4,Sun,43737,2019,September,29,8:20PM,New Orleans Saints,Dallas Cowboys,12,10,266,1,257,3,FALSE,"32.904895,-97.035901","29.951439,-90.081970",32.904895,-97.035901,29.951439,-90.08197,New Orleans Saints,Dallas Cowboys,Mercedes-Benz Superdome,Closed,FieldTurf Revolution 360,7,7,457.812927
2019_04_CIN_PIT,4,Mon,43738,2019,September,30,8:15PM,Pittsburgh Steelers,Cincinnati Bengals,27,3,326,1,175,2,FALSE,"39.096375,-84.516402","40.446739,-80.015837",39.096375,-84.516402,40.446739,-80.015837,Pittsburgh Steelers,Cincinnati Bengals,Heinz Field,No,Kentucky Bluegrass,8,8,256.5298234
2019_05_LV_SF,5,Thu,43741,2019,October,3,8:20PM,Seattle Seahawks,Los Angeles Rams,30,29,429,1,477,2,FALSE,"33.864219,-118.260995","47.593177,-122.331764",33.864219,-118.260995,47.593177,-122.331764,Seattle Seahawks,Los Angeles Rams,CenturyLink Field,No,FieldTurf Revolution 360,4,4,971.8645787
2019_05_NYJ_PHI,5,Sun,43744,2019,October,6,1:00PM,Philadelphia Eagles,New York Jets,31,6,265,1,128,3,FALSE,"40.813677,-74.082884","39.907366,-75.178274",40.813677,-74.082884,39.907366,-75.178274,Philadelphia Eagles,New York Jets, Lincoln Financial Field,No,Desso GrassMaster,10,14,85.12842911
2019_05_ATL_HOU,5,Sun,43744,2019,October,6,1:00PM,Houston Texans,Atlanta Falcons,53,32,592,1,373,1,FALSE,"33.755141,-84.401023","29.684873,-95.410645",33.755141,-84.401023,29.684873,-95.410645,Houston Texans,Atlanta Falcons,NRG Stadium,Retractable,Hellas Matrix Turf,7,7,705.015681
2019_05_BUF_TEN,5,Sun,43744,2019,October,6,1:00PM,Buffalo Bills,Tennessee Titans,14,7,313,1,252,0,TRUE,"42.773773,-78.787460","36.199207,-86.80447",42.773773,-78.78746,36.199207,-86.80447,Tennessee Titans,Buffalo Bills,Nissan Stadium,No,Bermuda Grass,7,7,623.2007264
2019_05_JAX_CAR,5,Sun,43744,2019,October,6,1:00PM,Carolina Panthers,Jacksonville Jaguars,34,27,445,0,507,3,FALSE,"30.323721,-81.635996","35.225647,-80.851339",30.323721,-81.635996,35.225647,-80.851339,Carolina Panthers,Jacksonville Jaguars,Bank of America Stadium,No,FieldTurf,7,7,341.7398553
2019_05_CHI_OAK,5,Sun,43744,2019,October,6,1:00PM,Oakland Raiders,Chicago Bears,24,21,398,2,236,2,FALSE,"42.256007,-87.895355","37.751605,-122.200485",42.256007,-87.895355,37.751605,-122.200485,Oakland Raiders,Chicago Bears,Oakland Coliseum,No,Kentucky Bluegrass,7,7,1829.395806
2019_05_ARI_CIN,5,Sun,43744,2019,October,6,1:00PM,Arizona Cardinals,Cincinnati Bengals,26,23,514,0,370,0,TRUE,"33.5276,-112.2626","39.096375,-84.516402",33.5276,-112.2626,39.096375,-84.516402,Cincinnati Bengals,Arizona Cardinals,Paul Brown Stadium,No,UBU Speed Series S5-M Synthetic Turf,6,7,1585.219819
2019_05_MIN_NYG,5,Sun,43744,2019,October,6,1:00PM,Minnesota Vikings,New York Giants,28,10,490,1,211,1,TRUE,"44.974552,-93.25975","40.813677,-74.082884",44.974552,-93.25975,40.813677,-74.082884,New York Giants,Minnesota Vikings,MetLife Stadium,No,UBU Sports Speed Series S5-M,7,7,1009.624972
2019_05_TB_NO,5,Sun,43744,2019,October,6,1:00PM,New Orleans Saints,Tampa Bay Buccaneers,31,24,457,1,252,0,FALSE,"27.979836,-82.49501","29.951439,-90.081970",27.979836,-82.49501,29.951439,-90.08197,New Orleans Saints,Tampa Bay Buccaneers,Mercedes-Benz Superdome,Closed,FieldTurf Revolution 360,7,7,478.3212915
2019_05_NE_WAS,5,Sun,43744,2019,October,6,1:00PM,New England Patriots,Washington Redskins,33,7,442,1,223,2,TRUE,"42.090936,-71.264362","39.026703,-77.444067",42.090936,-71.264362,39.026703,-77.444067,Washington Redskins,New England Patriots,FedExField,No,Bermuda Grass,7,7,387.2083255
2019_05_BAL_PIT,5,Sun,43744,2019,October,6,1:00PM,Baltimore Ravens,Pittsburgh Steelers,26,23,277,3,269,2,TRUE,"39.397151,-76.835177","40.446739,-80.015837",39.397151,-76.835177,40.446739,-80.015837,Pittsburgh Steelers,Baltimore Ravens,Heinz Field,No,Kentucky Bluegrass,6,7,183.464804
2019_05_DEN_LAC,5,Sun,43744,2019,October,6,4:05PM,Denver Broncos,Los Angeles Chargers,20,13,350,2,246,3,TRUE,"39.579126,-104.830049","33.864219,-118.260995",39.579126,-104.830049,33.864219,-118.260995,Los Angeles Chargers,Denver Broncos,SoFi Stadium,Closed,Hellas Matrix Turf,7,7,840.8702904
2019_05_GB_DAL,5,Sun,43744,2019,October,6,4:25PM,Green Bay Packers,Dallas Cowboys,34,24,335,0,563,3,TRUE,"44.501135,-88.062284","32.904895,-97.035901",44.501135,-88.062284,32.904895,-97.035901,Dallas Cowboys,Green Bay Packers,AT&T Stadium,Retractable,Hellas Matrix Turf,7,10,934.6367653
2019_05_IND_KC,5,Sun,43744,2019,October,6,8:20PM,Indianapolis Colts,Kansas City Chiefs,19,13,331,1,324,1,TRUE,"39.725523,-86.269762","39.048172,-94.483084",39.725523,-86.269762,39.048172,-94.483084,Kansas City Chiefs,Indianapolis Colts,Arrowhead Stadium,No,Bermuda Grass,7,7,440.9294444
2019_05_CLE_SEA,5,Mon,43745,2019,October,7,8:15PM,San Francisco 49ers,Cleveland Browns,31,3,446,0,180,4,FALSE,"41.506035,-81.700058","37.40289,-121.96784",41.506035,-81.700058,37.40289,-121.96784,San Francisco 49ers,Cleveland Browns,Levi's Stadium,No,Bermuda Grass and Perennial Ryegrass mixture,15,8,2147.29336
2019_06_NYG_NE,6,Thu,43748,2019,October,10,8:20PM,New England Patriots,New York Giants,35,14,427,2,213,4,FALSE,"40.813677,-74.082884","42.090936,-71.264362",40.813677,-74.082884,42.090936,-71.264362,New England Patriots,New York Giants,Gillette Stadium,No,FieldTurf CORE,4,4,170.5505407
