game_id,num_plays
2021_17_DET_SEA,181
2021_17_HOU_SF,174
2021_17_JAX_NE,159
2021_17_KC_CIN,178
2021_17_LAR_BAL,173
2021_17_LV_IND,165
2021_17_MIA_TEN,166
2021_17_MIN_GB,171
2021_17_NYG_CHI,173
2021_17_PHI_WAS,165
2021_17_TB_NYJ,177
2021_18_CAR_TB,172
2021_18_CHI_MIN,169
2021_18_CIN_CLE,170
2021_18_DAL_PHI,178
2021_18_GB_DET,174
2021_18_IND_JAX,163
2021_18_KC_DEN,175
2021_18_LAC_LV,228
2021_18_NE_MIA,183
2021_18_NO_ATL,162
2021_18_NYJ_BUF,174
2021_18_PIT_BAL,203
2021_18_SEA_ARI,183
2021_18_SF_LAR,188
2021_18_TEN_HOU,169
2021_18_WAS_NYG,161
2021_19_ARI_LAR,160
2021_19_LV_CIN,185
2021_19_NE_BUF,159
2021_19_PHI_TB,184
2021_19_PIT_KC,179
2021_19_SF_DAL,194
2021_20_BUF_KC,191
2021_20_CIN_TEN,166
2021_20_LAR_TB,194
2021_20_SF_GB,156
2021_21_CIN_KC,185
2021_21_SF_LAR,169
2021_22_CIN_LAR,176
2022_01_BAL_NYJ,179
2022_01_BUF_LAR,162
2022_01_CLE_CAR,186
2022_01_DEN_SEA,162
2022_01_GB_MIN,165
2022_01_IND_HOU,220
2022_01_JAX_WAS,190
2022_01_KC_ARI,175
2022_01_LV_LAC,165
2022_01_NE_MIA,154
2022_01_NO_ATL,191
2022_01_NYG_TEN,172
2022_01_PHI_DET,200
2022_01_PIT_CIN,217
2022_01_SF_CHI,181
2022_01_TB_DAL,174
2022_02_ARI_LV,201
2022_02_ATL_LAR,165
2022_02_CAR_NYG,176
2022_02_CHI_GB,149
2022_02_CIN_DAL,178
2022_02_HOU_DEN,182
2022_02_IND_JAX,158
2022_02_LAC_KC,176
2022_02_MIA_BAL,176
2022_02_MIN_PHI,171
2022_02_NE_PIT,170
2022_02_NYJ_CLE,186
2022_02_SEA_SF,164
2022_02_TB_NO,178
2022_02_TEN_BUF,168
2022_02_WAS_DET,181
2022_03_ATL_SEA,167
2022_03_BAL_NE,169
2022_03_BUF_MIA,177
2022_03_CIN_NYJ,190
2022_03_DAL_NYG,184
2022_03_DET_MIN,196
2022_03_GB_TB,172
2022_03_HOU_CHI,181
2022_03_JAX_LAC,175
2022_03_KC_IND,172
2022_03_LAR_ARI,177
2022_03_LV_TEN,173
2022_03_NO_CAR,177
2022_03_PHI_WAS,190
2022_03_PIT_CLE,179
2022_03_SF_DEN,174
2022_04_ARI_CAR,168
2022_04_BUF_BAL,174
2022_04_CHI_NYG,176
2022_04_CLE_ATL,167
2022_04_DEN_LV,176
2022_04_JAX_PHI,169
2022_04_KC_TB,190
2022_04_LAR_SF,166
2022_04_LAC_HOU,177
2022_04_MIA_CIN,175
2022_04_MIN_NO,183
2022_04_NE_GB,187
2022_04_NYJ_PIT,179
2022_04_SEA_DET,197
2022_04_TEN_IND,161
2022_04_WAS_DAL,183
2022_05_ATL_TB,184
2022_05_CHI_MIN,169
2022_05_CIN_BAL,168
2022_05_DAL_LAR,167
2022_05_DET_NE,164
2022_05_HOU_JAX,171
2022_05_IND_DEN,206
2022_05_LAC_CLE,181
2022_05_LV_KC,181
2022_05_MIA_NYJ,172
2022_05_NYG_GB,169
2022_05_PHI_ARI,184
2022_05_PIT_BUF,172
2022_05_SEA_NO,189
2022_05_SF_CAR,182
2022_05_TEN_WAS,175
2022_06_ARI_SEA,187
2022_06_BAL_NYG,169
2022_06_BUF_KC,182
2022_06_CAR_LAR,154
2022_06_CIN_NO,176
2022_06_DAL_PHI,176
2022_06_DEN_LAC,204
2022_06_JAX_IND,185
2022_06_MIN_MIA,179
2022_06_NE_CLE,188
2022_06_NYJ_GB,174
2022_06_SF_ATL,164
2022_06_TB_PIT,185
2022_06_WAS_CHI,184
2022_07_ATL_CIN,157
2022_07_CHI_NE,163
2022_07_CLE_BAL,169
2022_07_DET_DAL,161
2022_07_GB_WAS,174
2022_07_HOU_LV,163
2022_07_IND_TEN,160
2022_07_KC_SF,187
2022_07_NO_ARI,190
2022_07_NYG_JAX,192
2022_07_NYJ_DEN,183
2022_07_PIT_MIA,180
2022_07_SEA_LAC,186
2022_07_TB_CAR,154
2022_08_ARI_MIN,199
2022_08_BAL_TB,192
2022_08_CAR_ATL,207
2022_08_CHI_DAL,184
